Table,Column,Rows,DataType,Value,FileSizeBytes,FileSizeMB,GenerationTime
intOne,value,100000,Integer,1,200006,0.19074058532714844,0.0046460628509521484
floatOne,value,100000,Float,1.0,400006,0.38147544860839844,0.007054805755615234
intMillion,value,100000,Integer,1000000,800006,0.7629451751708984,0.0042951107025146484
countryCode,countryCode,100000,String,uk,300012,0.2861137390136719,0.004522085189819336
countryName,countryName,100000,String,United Kingdom,1500012,1.4305229187011719,0.0061779022216796875
dateTimeCol,dateTime,100000,DateTime,2023-07-28 12:34:56,2000009,1.9073572158813477,0.0052831172943115234
dateTimeMsCol,dateTimeMs,100000,DateTimeMs,2023-07-28 12:34:56.789,2400011,2.2888288497924805,0.0068988800048828125
dateTimeMsTimeZoneCol,dateTimeMsTimeZone,100000,DateTimeMsTimeZone,2023-07-28 12:34:56.789+00:00,2700019,2.5749387741088867,0.01921391487121582
dateCol,date,100000,Date,2023-07-28,1100005,1.049046516418457,0.004423856735229492
unixTimestampCol,unixTimestamp,100000,UnixTimestamp,1690544096,1100014,1.0490550994873047,0.004525184631347656
combined_table,All Columns,100000,Mixed,Multiple,12500104,11.921028137207031,0.05487513542175293
